job_title,description,company_name,employee_role,location,skills,salary_range,job_type,qualification,experience,expire_date
Full-Stack Developer,Develop front-end and back-end components of web applications.,Intel,Intern,New York,"C++, Embedded Systems",$150k-$200k,Remote,MSc Computer Science,Internship,04-02-2026
DevOps Engineer,"Manage CI/CD pipelines, automate infrastructure, and ensure system reliability.",IBM,Freelancer,Boston,"React, Node.js",$60k-$80k,Remote,BSc Computer Science,Senior-level,29-04-2025
Frontend Developer,Develop interactive web interfaces using modern frameworks.,Facebook,Full-time,Los Angeles,Ruby on Rails,$40k-$60k,Hybrid,MSc Computer Science,Senior-level,29-11-2025
Cybersecurity Analyst,"Monitor security threats, conduct vulnerability assessments, and implement security protocols.",Apple,Intern,San Francisco,"Python, Machine Learning",$120k-$150k,Remote,PhD in AI,Mid-level,26-07-2025
Cybersecurity Analyst,"Monitor security threats, conduct vulnerability assessments, and implement security protocols.",IBM,Full-time,Denver,"SQL, Data Analysis",$100k-$120k,On-site,BSc Computer Science,Mid-level,09-01-2026
UI/UX Designer,"Design user-friendly interfaces, conduct user research, and improve user experience.",IBM,Intern,Boston,"UI/UX Design, Figma",$150k-$200k,On-site,Master in IT,Internship,15-07-2025
Machine Learning Engineer,Develop and deploy machine learning models for automation and decision-making.,Intel,Part-time,New York,"UI/UX Design, Figma",$100k-$120k,On-site,BSc Computer Science,Senior-level,22-07-2025
Machine Learning Engineer,Develop and deploy machine learning models for automation and decision-making.,Netflix,Intern,Miami,"UI/UX Design, Figma",$100k-$120k,Hybrid,PhD in AI,Senior-level,24-05-2025
System Administrator,"Manage IT infrastructure, maintain servers, and ensure network security.",Amazon,Freelancer,New York,Ruby on Rails,$80k-$100k,Remote,Diploma in Software Engineering,Entry-level,28-03-2025
Database Administrator,"Manage database performance, security, and optimization.",Adobe,Intern,Seattle,"Python, Machine Learning",$150k-$200k,On-site,BSc Computer Science,Internship,20-04-2025
Machine Learning Engineer,Develop and deploy machine learning models for automation and decision-making.,Amazon,Full-time,Chicago,"UI/UX Design, Figma",$100k-$120k,Hybrid,Diploma in Software Engineering,Senior-level,09-06-2025
System Administrator,"Manage IT infrastructure, maintain servers, and ensure network security.",Salesforce,Freelancer,Austin,"React, Node.js",$120k-$150k,On-site,MSc Computer Science,Entry-level,15-12-2025
System Administrator,"Manage IT infrastructure, maintain servers, and ensure network security.",Salesforce,Full-time,Miami,"Python, Machine Learning",$100k-$120k,Hybrid,PhD in AI,Senior-level,10-01-2026
AI Researcher,"Conduct research on artificial intelligence, develop innovative algorithms, and publish findings.",Netflix,Full-time,San Francisco,"Java, Spring Boot",$60k-$80k,Remote,BSc Computer Science,Internship,30-05-2025
Software Engineer,"Develop and maintain software applications, troubleshoot issues, and optimize performance.",Amazon,Part-time,Boston,"Cybersecurity, Penetration Testing",$100k-$120k,Hybrid,BE-IT,Senior-level,07-11-2025
Database Administrator,"Manage database performance, security, and optimization.",Adobe,Intern,Austin,"UI/UX Design, Figma",$120k-$150k,Hybrid,PhD in AI,Internship,05-08-2025
Machine Learning Engineer,Develop and deploy machine learning models for automation and decision-making.,Apple,Part-time,Austin,"AWS, DevOps",$80k-$100k,On-site,MSc Computer Science,Mid-level,15-08-2025
IT Support Specialist,"Provide technical support, troubleshoot hardware/software issues, and assist users.",Microsoft,Freelancer,Atlanta,"React, Node.js",$100k-$120k,Remote,BSc Computer Science,Entry-level,11-06-2025
UI/UX Designer,"Design user-friendly interfaces, conduct user research, and improve user experience.",Google,Part-time,New York,"UI/UX Design, Figma",$80k-$100k,Hybrid,Diploma in Software Engineering,Mid-level,09-02-2026
Database Administrator,"Manage database performance, security, and optimization.",Facebook,Full-time,Atlanta,"React, Node.js",$100k-$120k,Remote,PhD in AI,Entry-level,22-09-2025
DevOps Engineer,"Manage CI/CD pipelines, automate infrastructure, and ensure system reliability.",Salesforce,Freelancer,Los Angeles,"Cybersecurity, Penetration Testing",$60k-$80k,On-site,BE-IT,Senior-level,25-04-2025
Software Engineer,"Develop and maintain software applications, troubleshoot issues, and optimize performance.",Salesforce,Freelancer,Austin,"JavaScript, TypeScript",$40k-$60k,On-site,MSc Computer Science,Internship,16-09-2025
Frontend Developer,Develop interactive web interfaces using modern frameworks.,Google,Intern,Boston,"AWS, DevOps",$40k-$60k,Remote,Master in IT,Mid-level,12-10-2025
DevOps Engineer,"Manage CI/CD pipelines, automate infrastructure, and ensure system reliability.",Facebook,Freelancer,Denver,"UI/UX Design, Figma",$150k-$200k,Hybrid,MSc Computer Science,Senior-level,02-08-2025
IT Support Specialist,"Provide technical support, troubleshoot hardware/software issues, and assist users.",Apple,Freelancer,San Francisco,"AWS, DevOps",$100k-$120k,Hybrid,BSc Computer Science,Senior-level,01-10-2025
Cloud Architect,"Design and manage cloud infrastructure, ensuring scalability and security.",Adobe,Full-time,San Francisco,"JavaScript, TypeScript",$80k-$100k,Remote,Master in IT,Mid-level,19-11-2025
Cybersecurity Analyst,"Monitor security threats, conduct vulnerability assessments, and implement security protocols.",Intel,Intern,San Francisco,"React, Node.js",$60k-$80k,Hybrid,BSc Computer Science,Senior-level,12-05-2025
Backend Developer,"Build and maintain server-side logic, databases, and APIs.",Facebook,Full-time,San Francisco,Ruby on Rails,$80k-$100k,On-site,BE-IT,Senior-level,30-07-2025
Cloud Architect,"Design and manage cloud infrastructure, ensuring scalability and security.",Salesforce,Intern,Boston,"UI/UX Design, Figma",$120k-$150k,Remote,BSc Computer Science,Mid-level,06-05-2025
UI/UX Designer,"Design user-friendly interfaces, conduct user research, and improve user experience.",Facebook,Part-time,Los Angeles,"Python, Machine Learning",$100k-$120k,Hybrid,BE-IT,Senior-level,28-10-2025
Data Scientist,"Analyze large datasets, build predictive models, and extract actionable insights.",Google,Part-time,New York,Ruby on Rails,$80k-$100k,On-site,PhD in AI,Entry-level,20-12-2025
Software Engineer,"Develop and maintain software applications, troubleshoot issues, and optimize performance.",Salesforce,Intern,Seattle,"AWS, DevOps",$150k-$200k,On-site,PhD in AI,Senior-level,22-05-2025
Full-Stack Developer,Develop front-end and back-end components of web applications.,Adobe,Part-time,Atlanta,"JavaScript, TypeScript",$150k-$200k,On-site,Master in IT,Entry-level,08-04-2025
Data Scientist,"Analyze large datasets, build predictive models, and extract actionable insights.",Amazon,Freelancer,New York,"Python, Machine Learning",$80k-$100k,Remote,MSc Computer Science,Senior-level,13-10-2025
Machine Learning Engineer,Develop and deploy machine learning models for automation and decision-making.,Facebook,Part-time,Seattle,Ruby on Rails,$60k-$80k,On-site,PhD in AI,Senior-level,17-05-2025
Backend Developer,"Build and maintain server-side logic, databases, and APIs.",Amazon,Intern,San Francisco,"React, Node.js",$40k-$60k,On-site,MSc Computer Science,Mid-level,29-06-2025
Backend Developer,"Build and maintain server-side logic, databases, and APIs.",Facebook,Part-time,San Francisco,"Python, Machine Learning",$80k-$100k,Hybrid,Master in IT,Senior-level,25-05-2025
AI Researcher,"Conduct research on artificial intelligence, develop innovative algorithms, and publish findings.",Salesforce,Freelancer,Atlanta,"Java, Spring Boot",$150k-$200k,Remote,PhD in AI,Senior-level,14-11-2025
Frontend Developer,Develop interactive web interfaces using modern frameworks.,IBM,Freelancer,Austin,"Java, Spring Boot",$100k-$120k,Remote,MSc Computer Science,Senior-level,24-10-2025
UI/UX Designer,"Design user-friendly interfaces, conduct user research, and improve user experience.",Netflix,Part-time,Austin,"React, Node.js",$40k-$60k,Hybrid,MSc Computer Science,Internship,02-09-2025
Embedded Systems Engineer,"Develop software for embedded systems, optimizing for performance and reliability.",IBM,Full-time,Boston,"UI/UX Design, Figma",$80k-$100k,Remote,MSc Computer Science,Senior-level,20-07-2025
Cloud Architect,"Design and manage cloud infrastructure, ensuring scalability and security.",Microsoft,Part-time,Miami,"JavaScript, TypeScript",$80k-$100k,On-site,Diploma in Software Engineering,Mid-level,05-05-2025
Cybersecurity Analyst,"Monitor security threats, conduct vulnerability assessments, and implement security protocols.",Netflix,Freelancer,Austin,Ruby on Rails,$100k-$120k,Remote,BSc Computer Science,Senior-level,02-02-2026
Full-Stack Developer,Develop front-end and back-end components of web applications.,Amazon,Intern,Boston,"UI/UX Design, Figma",$60k-$80k,Remote,BSc Computer Science,Internship,26-08-2025
Machine Learning Engineer,Develop and deploy machine learning models for automation and decision-making.,Facebook,Intern,New York,"Cybersecurity, Penetration Testing",$60k-$80k,Hybrid,PhD in AI,Internship,15-05-2025
Cybersecurity Analyst,"Monitor security threats, conduct vulnerability assessments, and implement security protocols.",Facebook,Intern,New York,Ruby on Rails,$120k-$150k,Hybrid,BE-IT,Internship,02-09-2025
